year,date,event
1964 CE,1964-11-28,NASA launches the Mariner 4 space probe from Cape Kennedy toward Mars to take television pictures of that planet in July 1965.
1965 CE,1965-01-24,Death of Winston Churchill.
1965 CE,1965-02-21,Assassination of Malcolm X.
1965 CE,1965-03-17,"The Voting Rights Act of 1965, inspired by the Selma to Montgomery marches."
1965 CE,1965-04-26,"Establishment of Rede Globo, now the largest TV network in Brazil and Latin America and the second-largest in the world after ABC."
1965 CE,1965-05-18,Israeli spy Eli Cohen is hanged in Damascus.
1965 CE,1965-08-09,Singapore gains independence.
1965 CE,1965-08-30,Bob Dylan releases Highway 61 Revisited.
1965 CE,1965-09-30,30 September Movement in the Indonesia.
1965 CE,1965-12-08,Second Vatican Council is closed by Pope Paul VI.
1965 CE,1965-12-30,Ferdinand Marcos becomes President of the Philippines.
1966 CE,1966-04-30,The Church of Satan is established in San Francisco by Anton LaVey.
1966 CE,1966-08-11,The Indonesia–Malaysia confrontation ends.
1966 CE,1966-09-30,Independence of Botswana.
1966 CE,1966-10-04,Independence of Lesotho.
1966 CE,1966-10-21,"The Aberfan disaster, the catastrophic collapse of a colliery spoil tip (pile of waste coal mining material) in Aberfan, Wales results in 144 deaths."
1966 CE,1966-11-30,Independence of Barbados.
1966 CE,1966-12-15,Death of Walt Disney.
1967 CE,1967-04-21,Greek military coup establishes a military dictatorship led by Georgios Papadopoulos. The dictatorship ends in 1974.
1967 CE,1967-07-06,Attempted secession of the Republic of Biafra from Nigeria triggers the Nigerian Civil War.
1967 CE,1967-07-17,"Death of John Coltrane, American jazz saxophonist, clarinettist and composer."
1967 CE,1967-08-08,Association of Southeast Asian Nations (ASEAN) founded.
1967 CE,1967-10-18,Release date of Disney's The Jungle Book.
1967 CE,1967-05-26,The Beatles release their landmark album Sgt. Pepper's Lonely Hearts Club Band.
1967 CE,1967-12-17,"Australian Prime Minister Harold Holt disappears while swimming at Cheviot Beach, Victoria."
1968 CE,1968-03-16,"My Lai massacre, a mass murder and rape of unarmed South Vietnamese civilians by U.S. troops in the Vietnam War."
1968 CE,1968-03-21,Battle of Karameh in Jordan (part of the War of Attrition between Israel and Arab states).
1968 CE,1968-04-04,Assassination of Martin Luther King Jr. during the Poor People's Campaign.
1968 CE,1968-06-05,Assassination of Robert F. Kennedy during the Poor People's Campaign.
1969 CE,1969-01-13,"Samsung Electronics founded in Suwon, South Korea."
1969 CE,1969-01-20,Richard Nixon is inaugurated as President of the United States.
1969 CE,1969-03-02,"Concorde 001 flies from the first time, from Toulouse, piloted by André Turcat."
1969 CE,1969-07-20,"Apollo 11 Moon landing, in which Neil Armstrong and Buzz Aldrin become the first two humans on the moon."
1969 CE,1969-09-01,Muammar Gaddafi overthrows King Idris of Libya in a Coup d'état and establishes the Libyan Arab Republic.
1969 CE,1969-10-29,"Creation of Advanced Research Projects Agency Network (ARPANET), the earliest incarnation of the Internet."
1969 CE,1969-11-10,Sesame Street premieres its debut episode.
1970 CE,1970-01-15,The Nigerian Civil War ends with the reintegration of the Republic of Biafra with Nigeria after ~3 million deaths.
1970 CE,1970-01-22,Maiden flight of the Boeing 747.
1970 CE,1970-02-18,The Chicago Seven are found not guilty of conspiring to incite riots at the 1968 Democratic National Convention.
1970 CE,1970-03-05,Ratification of the Treaty on the Non-Proliferation of Nuclear Weapons.
1970 CE,1970-04-01,U.S. President Richard M. Nixon signs Public Health Cigarette Smoking Act.
1970 CE,1970-04-10,Break-up of the Beatles.
1970 CE,1970-04-11,"Apollo 13 (Jim Lovell, Fred Haise, Jack Swigert) is launched toward the Moon."
1970 CE,1970-06-19,Edward Heath becomes Prime Minister of the United Kingdom.
1970 CE,1970-07-12,"Thor Heyerdahl's papyrus boat Ra II arrived in Barbados, bringing an end to its 3,200 mi (5,100 km) journey across the Atlantic Ocean."
1970 CE,1970-09-06,"Black September in Jordan begins, lasting until mid-1971."
1970 CE,1970-09-28,Death of Egyptian President Gamal Abdel Nasser.
1970 CE,1970-10-05,The Public Broadcasting Service (PBS) began broadcasting as a successor to National Educational Television (NET) in the United States.
1970 CE,1970-10-15,Anwar Sadat becomes President of Egypt.
1970 CE,1970-12-01,North Yemen Civil War ends.
1970 CE,1970-12-18,Establishment of Airbus.
1971 CE,1971-01-25,Idi Amin seizes power in Uganda.
1971 CE,1971-03-26,"Bangladesh Liberation War occurred, independence of Bangladesh from Pakistan and precipitates Third Indo-Pakistani War."
1971 CE,1971-04-20,National Public Radio (NPR) airs its first broadcast.
1971 CE,1971-07-05,"The 26th Amendment to the United States Constitution, formally certified by President Richard Nixon, lowers the voting age from 21 to 18."
1971 CE,1971-07-17,Black September in Jordan ends.
1971 CE,1971-10-27,Joseph Mobutu renames The Republic of the Congo Zaire.
1971 CE,1971-11-15,"Intel releases the world's first microprocessor, the Intel 4004."
1972 CE,1972-01-30,Northern Ireland's Bloody Sunday.
1972 CE,1972-03-24,The Godfather premieres.
1972 CE,1972-03-27,The First Sudanese Civil War ends.
1972 CE,1972-05-08,"The airplane serving Sabena Flight 571 from Brussels to Lod, Tel Aviv is hijacked by four members of the Black September Organization, a Palestinian terrorist group, resulting in 3 deaths and 3 injuries."
1972 CE,1972-05-26,"Richard Nixon and Leonid Brezhnev sign the SALT I treaty in Moscow, as well as the Anti-Ballistic Missile Treaty and other agreements."
1972 CE,1972-05-30,Lod Airport massacre.
1972 CE,1972-11-29,"The arcade game Pong, the first commercially successful video game, is released."
1973 CE,1973-01-22,The Supreme Court of the United States decides Roe v. Wade.
1973 CE,1973-03-01,Pink Floyd's album The Dark Side of the Moon is released in the UK.
1973 CE,1973-05-03,Construction of the Sears Tower (later renamed to Willis Tower) completed.
1973 CE,1973-05-14,"The first space station, Skylab, is launched."
1973 CE,1973-09-11,1973 Chilean coup d'état.
1973 CE,1973-12-03,Pioneer 10 sends back the first close-up images of Jupiter.
1974 CE,1974-03-04,Harold Wilson becomes Prime Minister of the United Kingdom.
1974 CE,1974-04-06,"Swedish pop group ABBA's song Waterloo wins the 1974 Eurovision Song Contest in Brighton, England, UK."
1974 CE,1974-04-25,Carnation Revolution in Portugal begins transition to democracy.
1974 CE,1974-09-12,Emperor Haile Selassie I of Ethiopia is overthrown in a military coup. Beginning of the Ethiopian Civil War.
1974 CE,1974-11-08,Release date of Disney's Robin Hood.
1974 CE,1974-11-24,"Discovery of 'Lucy' (Australopithecus afarensis) in Tanzania's Olduvai Gorge."
1975 CE,1975-04-04,"Microsoft founded in Albuquerque, New Mexico by Bill Gates and Paul Allen."
1975 CE,1975-04-13,Bus massacre in Lebanon triggers the Lebanese Civil War which lasts until 1990.
1975 CE,1975-04-17,The Cambodian Civil War ends with victory for the Khmer Rouge. Cambodian genocide begins.
1975 CE,1975-04-30,The Fall of Saigon ends the Vietnam War.
1975 CE,1975-06-25,"Prime Minister Indira Gandhi declares a state of emergency in India, suspending civil liberties and elections."
1975 CE,1975-08-01,"The Helsinki Accords, which officially recognize Europe's national borders and respect for human rights, are signed in Finland."
1975 CE,1975-11-11,Angola declares independence from Portugal and Angolan Civil War erupts.
1975 CE,1975-11-20,Death of Francisco Franco.
1975 CE,1975-11-22,Juan Carlos I becomes King of Spain.
1975 CE,1975-12-07,Indonesian invasion of East Timor begins.
1976 CE,1976-03-24,1976 Argentine coup d'état leads to a military dictatorship in Argentina.
1976 CE,1976-04-01,"Steve Wozniak invents the Apple I and Steve Jobs then convinces Wozniak to sell the system, giving birth to Apple Computer."
1976 CE,1976-04-05,James Callaghan becomes Prime Minister of the United Kingdom.
1976 CE,1976-07-04,"Operation Entebbe, a successful counter-terrorist hostage-rescue mission carried out by commandos of the Israel Defense Forces (IDF) at Entebbe Airport in Uganda."
1976 CE,1976-10-06,End of Cultural Revolution.
1977 CE,1977-01-20,Jimmy Carter is inaugurated as President of the United States.
1977 CE,1977-02-09,Queen Alia of Jordan is killed in helicopter crash.
1977 CE,1977-03-27,"The Tenerife disaster in the Canary Islands, with 583 fatalities, marks the deadliest accident in aviation history."
1977 CE,1977-05-25,Star Wars is released and quickly becomes the highest-grossing film of all-time.
1977 CE,1977-05-29,A. J. Foyt wins Indianapolis 500 for fourth time.
1977 CE,1977-06-27,Djibouti gains independence from France.
1977 CE,1977-07-01,Virginia Wade wins Wimbledon singles title in the centenary year of the tournament.
1977 CE,1977-07-13,Somalia declares war on Ethiopia setting off the Ethio-Somali War.
1977 CE,1977-08-16,Death of Elvis Presley.
1977 CE,1977-08-20,Voyager 2 launched by NASA.
1977 CE,1977-09-05,Voyager 1 launched by NASA.
1977 CE,1977-09-05,German Autumn: Red Army Faction abduction of Hanns Martin Schleyer.
1977 CE,1977-09-11,Release date of the Atari 2600 video game console in North America.
1977 CE,1977-09-24,The first episode of The Love Boat airs on ABC.
1977 CE,1977-10-19,Suicide of members of Baader-Meinhoff Group and murder of Hanns Martin Schleyer ends crisis in West Germany.
1977 CE,1977-10-26,The last wild case of smallpox is eradicated by the WHO.
1977 CE,1977-11-19,Egyptian President Anwar Sadat becomes the first Arab leader to visit Israel in the hopes of establishing peace between the two countries.
1977 CE,1977-12-25,Death of Charlie Chaplin.
1978 CE,1978-03-14,1978 South Lebanon conflict.
1978 CE,1978-04-27,The War in Afghanistan begins with the Saur Revolution.
1978 CE,1978-06-19,"Garfield's first comic strip, originally published locally as Jon in 1976, goes into nationwide syndication."
1978 CE,1978-06-22,Discovery of Pluto's moon Charon.
1978 CE,1978-06-25,The rainbow flag of the LGBT movement flies for the first time (in its original form) at the San Francisco Gay Freedom Day Parade.
1978 CE,1978-08-26,John Paul I becomes pope.
1978 CE,1978-09-17,The Camp David Accords are signed between Israel and Egypt.
1978 CE,1978-09-28,"John Paul I dies, his papacy being one of the shortest in history."
1978 CE,1978-10-01,Independence of Tuvalu from Britain.
1978 CE,1978-10-09,The Uganda–Tanzania War begins.
1978 CE,1978-10-16,John Paul II becomes pope.
1978 CE,1978-11-18,"Jim Jones's New religious movement, the Peoples Temple, ends in the organized mass killing and suicide of 920 people in Jonestown."
1978 CE,1978-11-27,San Francisco Mayor George Moscone and City Supervisor Harvey Milk are assassinated by former Supervisor Dan White.
1978 CE,1978-12-18,Deng Xiaoping commences the Chinese economic reform.
1978 CE,1978-12-25,The Cambodian-Vietnamese War begins.
1978 CE,1978-12-29,"The current Constitution of Spain comes into effect, which for some marks the completion of the Spanish transition to democracy."
1979 CE,1979-01-07,The Vietnamese invasion of Kampuchea ends Cambodia's Khmer Rouge regime.
1979 CE,1979-02-11,The Iranian Revolution ends. Shah Reza Pahlavi is overthrown and forced into exile.
1979 CE,1979-03-16,Central Treaty Organization dissolves.
1979 CE,1979-03-28,"The Three Mile Island nuclear accident, a partial meltdown of reactor number 2 of Three Mile Island Nuclear Generating Station (TMI-2) in Dauphin County, Pennsylvania, near Harrisburg, and subsequent radiation leak."
1979 CE,1979-05-04,Margaret Thatcher becomes the first female Prime Minister of the United Kingdom.
1979 CE,1979-06-03,The Uganda–Tanzania War ends with defeat for Uganda and the exile of Idi Amin.
1979 CE,1979-06-11,Death of John Wayne.
1979 CE,1979-10-15,Beginning of the Salvadoran Civil War.
1979 CE,1979-11-04,The Iran hostage crisis begins.
1979 CE,1979-12-12,The Rhodesian Bush War ends.
1979 CE,1979-12-24,The Soviet–Afghan War begins.
1980 CE,1980-03-24,Assassination of Salvadoran Archbishop Oscar Romero.
1980 CE,1980-04-18,"Independence of Rhodesia, which becomes Zimbabwe."
1980 CE,1980-04-30,Queen Beatrix becomes monarch of the Netherlands.
1980 CE,1980-05-08,WHO announces the eradication of smallpox.
1980 CE,1980-05-18,"1980 eruption of Mount St. Helens in Skamania County, state of Washington, leaves approximately 57 deaths and $1 billion of property damage."
1980 CE,1980-05-21,The Empire Strikes Back is released.
1980 CE,1980-05-22,"Release of Pac-Man, the best-selling arcade game."
1980 CE,1980-06-01,Launch of Cable News Network (CNN).
1980 CE,1980-07-01,Adoption of O Canada as the national anthem of Canada.
1980 CE,1980-07-30,Independence of Vanuatu.
1980 CE,1980-08-31,"Solidarity union forms at Poland's Gdańsk Shipyard under Lech Wałęsa, and begins agitation for greater personal freedoms."
1980 CE,1980-09-22,Beginning of the Iran–Iraq War.
1980 CE,1980-11-04,"Ronald Reagan is elected as the 40th President of the United States, the oldest person to be elected."
1980 CE,1980-11-13,Voyager 1 takes the first close-up pictures of Saturn.
1980 CE,1980-12-08,Murder of John Lennon.
1981 CE,1981-01-17,Martial Law is lifted in the Philippines.
1981 CE,1981-03-30,President Reagan and three others are injured after an assassination attempt.
1981 CE,1981-04-12,First orbital flight of the Space Shuttle.
1981 CE,1981-05-11,Reggae singer Bob Marley dies.
1981 CE,1981-05-13,Pope John Paul II assassination attempt.
1981 CE,1981-06-05,"The AIDS epidemic officially begins in the United States, having originated in Africa; making this to be an ongoing pandemic."
1981 CE,1981-06-07,"Operation Opera, a surprise airstrike conducted by the Israeli Air Force on an unfinished Iraqi nuclear reactor near Baghdad."
1981 CE,1981-06-12,Release date of Steven Spielberg's Raiders of the Lost Ark.
1981 CE,1981-07-17,"Two skywalks filled with people at the Hyatt Regency Hotel in Kansas City, Missouri, collapse into a crowded atrium lobby, killing 114."
1981 CE,1981-07-29,"Wedding of Charles, Prince of Wales, and Lady Diana Spencer."
1981 CE,1981-08-01,Launch of MTV.
1981 CE,1981-08-12,IBM Personal Computer released.
1981 CE,1981-08-15,EWTN airs its first broadcast.
1981 CE,1981-10-06,Assassination of Anwar Sadat.
1981 CE,1981-12-13,Martial law in Poland begins.
1982 CE,1982-04-25,Israel withdraws from Sinai Peninsula.
1982 CE,1982-06-06,First Israeli invasion of Lebanon begins.
